	CD02	CH01	CR17	CR18	CR29	CR30	CV0064	CV0385	CV1501	MN04	OK0273	SZN034	SZN035	SZN047	SZN049	SZN054	SZN064
CD02	0.0	0.026871993601821006	0.026098713541134626	0.024195025288529536	0.026217641640690965	0.025449452403167972	0.034837338531009635	0.03452174459785157	0.01916496038046605	0.019043705380556684	0.027500613063034484	0.027214968196655465	0.02908101964372744	0.03335297523591689	0.025723580220406127	0.02170315777491251	0.03546025042373946
CH01	0.026871993601821006	0.0	0.023368244923399874	0.02287083184767259	0.023309291451081567	0.024189429735079808	0.03583153885075186	0.035471046290176896	0.026976217770610822	0.026919469552192706	0.024510906525486077	0.026332819271419998	0.028249748933429707	0.032572016217579255	0.024428231183414965	0.028615196194618362	0.03480060025401981
CR17	0.026098713541134626	0.023368244923399874	0.0	0.021623102201493754	0.021972452450892542	0.022936727665784883	0.036171278522629524	0.035789076891947616	0.025986585353877927	0.02597785112787221	0.023167610115956316	0.025034238178105628	0.02664615196698946	0.03317042313546771	0.023083543490807754	0.027791163475466018	0.03542250460006633
CR18	0.024195025288529536	0.02287083184767259	0.021623102201493754	0.0	0.0233429574992689	0.014220724299042312	0.03434627957860148	0.034261611366180986	0.02448574356414253	0.024433084994583954	0.024635562889766077	0.025924652896099864	0.027733110737331233	0.03272102358454673	0.024056399909796113	0.02630529521675727	0.03496770842428047
CR29	0.026217641640690965	0.023309291451081567	0.021972452450892542	0.0233429574992689	0.0	0.024468715638824287	0.03586034766255072	0.035763090229929025	0.026147963084797058	0.02622382710440415	0.01583128871585174	0.021850092538915174	0.0233230569561413	0.03208432826658846	0.020924787926822598	0.02812544839537623	0.03455155255658122
CR30	0.025449452403167972	0.024189429735079808	0.022936727665784883	0.014220724299042312	0.024468715638824287	0.0	0.035827426227211155	0.035630874115328885	0.025777986363067704	0.02570547703229472	0.025657280294522106	0.027081888662959692	0.02871750405568989	0.033985431359631765	0.025109405078675148	0.02744148375464648	0.036157370667042055
CV0064	0.034837338531009635	0.03583153885075186	0.036171278522629524	0.03434627957860148	0.03586034766255072	0.035827426227211155	0.0	0.015235658031499306	0.035045757126543176	0.03483865170168991	0.03738770801326572	0.038080650618401934	0.040104597504848245	0.03791224410297449	0.03679015782018889	0.03660375766554238	0.040167073793675054
CV0385	0.03452174459785157	0.035471046290176896	0.035789076891947616	0.034261611366180986	0.035763090229929025	0.035630874115328885	0.015235658031499306	0.0	0.03493471677469703	0.03470378880003638	0.037144250241130744	0.03789127719395874	0.0396282220853844	0.03752438532924276	0.036448378564431436	0.03653582869932617	0.039799479067195206
CV1501	0.01916496038046605	0.026976217770610822	0.025986585353877927	0.02448574356414253	0.026147963084797058	0.025777986363067704	0.035045757126543176	0.03493471677469703	0.0	0.01686966782792724	0.02751941926729785	0.027015666649932657	0.028672745894744403	0.03353453694662998	0.025446899852984463	0.02142441956578868	0.03558470857206695
MN04	0.019043705380556684	0.026919469552192706	0.02597785112787221	0.024433084994583954	0.02622382710440415	0.02570547703229472	0.03483865170168991	0.03470378880003638	0.01686966782792724	0.0	0.02736010291887355	0.027016584957294587	0.028622133586898926	0.03338498204795427	0.025457111978540874	0.021615395248554287	0.03536868886879523
OK0273	0.027500613063034484	0.024510906525486077	0.023167610115956316	0.024635562889766077	0.01583128871585174	0.025657280294522106	0.03738770801326572	0.037144250241130744	0.02751941926729785	0.02736010291887355	0.0	0.0230525828935182	0.02431852639747902	0.03316676274624207	0.02210493579999288	0.02926614466997903	0.03558335215633937
SZN034	0.027214968196655465	0.026332819271419998	0.025034238178105628	0.025924652896099864	0.021850092538915174	0.027081888662959692	0.038080650618401934	0.03789127719395874	0.027015666649932657	0.027016584957294587	0.0230525828935182	0.0	0.02368204279866152	0.03434370925002239	0.023426606561395953	0.028853347913878107	0.03631361539475575
SZN035	0.02908101964372744	0.028249748933429707	0.02664615196698946	0.027733110737331233	0.0233230569561413	0.02871750405568989	0.040104597504848245	0.0396282220853844	0.028672745894744403	0.028622133586898926	0.02431852639747902	0.02368204279866152	0.0	0.036181018971131275	0.025076798408349067	0.030545614330042	0.03816379009600978
SZN047	0.03335297523591689	0.032572016217579255	0.03317042313546771	0.03272102358454673	0.03208432826658846	0.033985431359631765	0.03791224410297449	0.03752438532924276	0.03353453694662998	0.03338498204795427	0.03316676274624207	0.03434370925002239	0.036181018971131275	0.0	0.03324130791867795	0.03545350556981449	0.017319072322143247
SZN049	0.025723580220406127	0.024428231183414965	0.023083543490807754	0.024056399909796113	0.020924787926822598	0.025109405078675148	0.03679015782018889	0.036448378564431436	0.025446899852984463	0.025457111978540874	0.02210493579999288	0.023426606561395953	0.025076798408349067	0.03324130791867795	0.0	0.027394674439022666	0.03551833763710474
SZN054	0.02170315777491251	0.028615196194618362	0.027791163475466018	0.02630529521675727	0.02812544839537623	0.02744148375464648	0.03660375766554238	0.03653582869932617	0.02142441956578868	0.021615395248554287	0.02926614466997903	0.028853347913878107	0.030545614330042	0.03545350556981449	0.027394674439022666	0.0	0.037070400515624845
SZN064	0.03546025042373946	0.03480060025401981	0.03542250460006633	0.03496770842428047	0.03455155255658122	0.036157370667042055	0.040167073793675054	0.039799479067195206	0.03558470857206695	0.03536868886879523	0.03558335215633937	0.03631361539475575	0.03816379009600978	0.017319072322143247	0.03551833763710474	0.037070400515624845	0.0
